"TIME";"DESTINATION";"DESTINATION_PLANET";"CREDITS";"LOOT_TYPE";"LOOT"
"2018-12-25 06:54:01";"Elion";"Mercury";5300;"blueprint";"Frost Aurora Helmet"
"2018-12-25 06:28:02";"Berehynia";"Sedna";14300;"";""
"2018-12-25 06:27:01";"Galilea";"Jupiter";8600;"blueprint";"Trinity Aura Helmet"
"2018-12-25 06:09:01";"Cervantes";"Earth";4400;"blueprint";"Vauban Esprit Helmet"
"2018-12-25 06:09:01";"Sorath";"Europa";8600;"";""
"2018-12-25 05:37:01";"Monolith";"Phobos";7100;"resource";"Nitain Extract"
"2018-12-25 05:24:02";"Outer Terminus";"Pluto";13400;"blueprint";"Valkyr Kara Helmet"
"2018-12-25 05:11:01";"Numa";"Saturn";9500;"";""
"2018-12-25 04:50:02";"Salacia";"Neptune";11600;"";""
"2018-12-25 04:44:01";"Montes";"Venus";5000;"resource";"Nano Spores (3,000x)"
"2018-12-25 04:41:02";"Kokabiel";"Europa";0;"resource";"Mutalist Alad V Nav Coordinate"
"2018-12-25 04:38:02";"Charybdis";"Sedna";14000;"";""
"2018-12-25 04:18:01";"Adrastea";"Jupiter";8300;"blueprint";"Gara Virago Helmet"
"2018-12-25 04:00:01";"Saxis";"Eris";13700;"";""
"2018-12-25 03:46:01";"Elion";"Mercury";5000;"miscellaneous";"80 ENDO"
"2018-12-25 03:34:02";"Shklovsky";"Phobos";6500;"";""
"2018-12-25 02:58:01";"Outer Terminus";"Pluto";12200;"miscellaneous";"Lethal Torrent"
"2018-12-25 02:53:01";"Vallis";"Mars";0;"resource";"Mutagen Mass"
"2018-12-25 02:50:01";"Aten";"Void";15800;"resource";"Void Traces (20x)"
"2018-12-25 02:47:02";"Ultor";"Mars";6200;"miscellaneous";"80 ENDO"
"2018-12-25 02:43:30";"Orias";"Europa";0;"resource";"Fieldron (3x)"
"2018-12-25 02:43:29";"Valefor";"Europa";0;"resource";"Mutagen Mass (2x)"
"2018-12-25 02:34:02";"Linea";"Venus";5000;"blueprint";"Zephyr Cierzo Helmet"
"2018-12-25 02:07:02";"Abaddon";"Europa";9200;"miscellaneous";"100 ENDO"
"2018-12-25 02:07:01";"Everest";"Earth";4700;"";""
"2018-12-25 01:43:01";"Saxis";"Eris";13400;"";""
"2018-12-25 01:36:01";"Elara";"Jupiter";7700;"blueprint";"Dual Zoren Dagger-axe Skin"
"2018-12-25 01:28:01";"Rosalind";"Uranus";11600;"blueprint";"Hydroid Ketos Helmet"
"2018-12-25 01:13:01";"Larissa";"Neptune";11900;"resource";"Tellurium"
"2018-12-25 01:01:01";"Hydron";"Sedna";13400;"resource";"Alloy Plate (1,500x)"
"2018-12-25 00:40:01";"Ultor";"Mars";6500;"resource";"Nitain Extract"
"2018-12-25 00:06:02";"Helene";"Saturn";10400;"resource";"Plastids (300x)"
"2018-12-25 00:03:01";"Stickney";"Phobos";6500;"";""
"2018-12-24 23:48:34";"Morax";"Europa";0;"resource";"Mutagen Mass (2x)"
"2018-12-24 23:46:01";"Unda";"Venus";4700;"blueprint";"Excalibur Mordred Helmet"
"2018-12-24 23:42:01";"Pacific";"Earth";3800;"";""
"2018-12-24 23:23:01";"Ananke";"Jupiter";7700;"";""
"2018-12-24 23:10:01";"Morax";"Europa";8600;"";""
"2018-12-24 22:44:01";"Brugia";"Eris";13700;"resource";"Rubedo (450x)"
"2018-12-24 22:28:01";"Lares";"Mercury";5600;"";""
"2018-12-24 22:26:02";"Baal";"Europa";0;"resource";"Fieldron (3x)"
"2018-12-24 22:26:02";"Paimon";"Europa";0;"resource";"Mutagen Mass (2x)"
"2018-12-24 22:26:01";"Ose";"Europa";0;"resource";"Mutalist Alad V Nav Coordinate"
"2018-12-24 22:15:01";"Teshub";"Void";6800;"resource";"Void Traces (20x)"
"2018-12-24 22:14:01";"Charybdis";"Sedna";14000;"";""
"2018-12-24 21:46:02";"Caliban";"Uranus";10700;"resource";"Circuits (1,500x)"
"2018-12-24 21:41:01";"Pallas";"Ceres";6500;"";""
"2018-12-24 21:15:02";"Proteus";"Neptune";11300;"miscellaneous";"Blaze"
"2018-12-24 21:06:01";"Telesto";"Saturn";9500;"miscellaneous";"100 ENDO"
"2018-12-24 20:36:02";"Cervantes";"Earth";4100;"blueprint";"Heat Sword"
"2018-12-24 20:32:01";"Sorath";"Europa";0;"resource";"Fieldron (3x)"
"2018-12-24 20:23:01";"Morax";"Europa";8600;"miscellaneous";"100 ENDO"
"2018-12-24 20:13:01";"Tharsis";"Mars";5600;"blueprint";"Ash Scorpion Helmet"
"2018-12-24 20:02:44";"Cerberus";"Pluto";30000;"miscellaneous";"Secondary Riven"
"2018-12-24 20:02:02";"Stickney";"Phobos";6800;"";""
"2018-12-24 20:00:01";"Lares";"Mercury";15000;"blueprint";"Orokin Reactor"
"2018-12-24 19:41:01";"Sao";"Neptune";0;"resource";"Detonite Injector (3x)"
"2018-12-24 19:40:01";"Desdemona";"Uranus";11000;"resource";"Nitain Extract"
"2018-12-24 19:38:01";"Oestrus";"Eris";13700;"aura";"Steel Charge"
"2018-12-24 19:25:01";"Sao";"Neptune";12200;"blueprint";"Orokin Catalyst"
"2018-12-24 19:18:01";"Berehynia";"Sedna";14600;"miscellaneous";"150 ENDO"
"2018-12-24 19:16:01";"Carpo";"Jupiter";0;"resource";"Fieldron (3x)"
"2018-12-24 19:15:01";"Hydra";"Pluto";12500;"resource";"Circuits (1,500x)"
"2018-12-24 19:02:01";"Galilea";"Jupiter";8600;"miscellaneous";"100 ENDO"
"2018-12-24 18:28:01";"Elion";"Mercury";5000;"miscellaneous";"80 ENDO"
"2018-12-24 18:11:01";"Mithra";"Void";16100;"blueprint";"Nyx Menticide Helmet"
"2018-12-24 17:36:01";"Olympus";"Mars";6500;"";""
"2018-12-24 17:31:02";"Sorath";"Europa";8900;"miscellaneous";"100 ENDO"
"2018-12-24 17:09:01";"Kiliken";"Venus";5300;"";""
"2018-12-24 17:02:01";"Ophelia";"Uranus";11000;"resource";"Rubedo (450x)"
"2018-12-24 16:47:01";"Gulliver";"Phobos";7100;"";""
"2018-12-24 16:43:01";"Cypress";"Pluto";13400;"";""
"2018-12-24 16:19:01";"Thon";"Ceres";8000;"blueprint";"Oberon Markhor Helmet"
"2018-12-24 16:18:02";"Callisto";"Jupiter";8900;"miscellaneous";"100 ENDO"
"2018-12-24 15:53:01";"Kala-azar";"Eris";14600;"";""
"2018-12-24 15:44:01";"Mot";"Void";16100;"resource";"Void Traces (20x)"
"2018-12-24 15:37:01";"Armaros";"Europa";8600;"blueprint";"Khora Delphi Helmet"
"2018-12-24 15:11:01";"Ishtar";"Venus";5000;"resource";"Polymer Bundle (300x)"
"2018-12-24 14:55:01";"Syrtis";"Mars";5900;"miscellaneous";"80 ENDO"
"2018-12-24 14:44:01";"Marid";"Sedna";13700;"resource";"Nitain Extract"
"2018-12-24 14:35:01";"Skyresh";"Phobos";6800;"miscellaneous";"100 ENDO"
"2018-12-24 14:20:01";"Oceanum";"Pluto";0;"resource";"Mutagen Mass (2x)"
"2018-12-24 14:19:01";"Rhea";"Saturn";10400;"blueprint";"Mirage Harlequin Helmet"
"2018-12-24 13:40:01";"Nuovo";"Ceres";7100;"miscellaneous";"100 ENDO"
"2018-12-24 13:38:02";"Umbriel";"Uranus";10400;"resource";"Argon Crystal"
"2018-12-24 13:05:01";"Acheron";"Pluto";13700;"";""
"2018-12-24 12:57:27";"Hydra";"Pluto";0;"resource";"Mutagen Mass (2x)"
"2018-12-24 12:57:27";"Outer Terminus";"Pluto";0;"resource";"Mutagen Mass (2x)"
"2018-12-24 12:52:02";"Morax";"Europa";8600;"";""
"2018-12-24 12:42:01";"Odin";"Mercury";6200;"blueprint";"Banshee Reverb Helmet"
"2018-12-24 12:31:02";"Solium";"Eris";14300;"miscellaneous";"150 ENDO"
"2018-12-24 12:28:01";"Laomedeia";"Neptune";12200;"aura";"Rifle Amp"
"2018-12-24 12:15:02";"Hepit";"Void";6800;"resource";"Void Traces (20x)"
"2018-12-24 11:50:01";"Garus";"Kuva Fortress";12200;"resource";"Synthula (5x)"
"2018-12-24 11:48:02";"Erpo";"Earth";3800;"resource";"Rubedo (450x)"
"2018-12-24 11:45:01";"Monolith";"Phobos";7100;"resource";"Ferrite (3,000x)"
"2018-12-24 11:42:32";"Adrastea";"Jupiter";0;"resource";"Mutagen Mass"
"2018-12-24 11:28:01";"Cinxia";"Ceres";7400;"miscellaneous";"100 ENDO"
"2018-12-24 11:20:02";"Narcissus";"Pluto";0;"resource";"Mutalist Alad V Nav Coordinate"
"2018-12-24 11:18:01";"Montes";"Venus";4400;"miscellaneous";"80 ENDO"
"2018-12-24 11:03:01";"Ares";"Mars";6200;"";""
"2018-12-24 10:26:02";"Caliban";"Uranus";10700;"";""
"2018-12-24 10:25:01";"Numa";"Saturn";9800;"";""
"2018-12-24 09:46:01";"Larissa";"Neptune";11900;"miscellaneous";"Animal Instinct"
"2018-12-24 09:25:02";"Erpo";"Earth";3500;"resource";"Nitain Extract"
"2018-12-24 09:10:02";"Xini";"Eris";13400;"miscellaneous";"150 ENDO"
"2018-12-24 08:54:01";"Ose";"Europa";9200;"blueprint";"Hydroid Triton Helmet"
"2018-12-24 08:44:02";"Narcissus";"Pluto";12800;"";""
"2018-12-24 08:41:01";"Cypress";"Pluto";0;"resource";"Fieldron (3x)"
"2018-12-24 08:41:01";"Adrastea";"Jupiter";8600;"miscellaneous";"100 ENDO"
"2018-12-24 08:16:01";"Odin";"Mercury";5300;"";""
"2018-12-24 08:03:01";"Ophelia";"Uranus";10400;"resource";"Argon Crystal"
"2018-12-24 07:53:02";"Shklovsky";"Phobos";6200;"miscellaneous";"100 ENDO"
"2018-12-24 07:40:01";"Mithra";"Void";15800;"resource";"Void Traces (20x)"
"2018-12-24 07:21:01";"Numa";"Saturn";10100;"blueprint";"Fragor Brokk Skin"
"2018-12-24 06:51:01";"Brugia";"Eris";12800;"";""
"2018-12-24 06:45:02";"Olympus";"Mars";6500;"";""
"2018-12-24 06:28:02";"Hydra";"Pluto";12500;"";""
"2018-12-24 06:08:02";"Metis";"Jupiter";8000;"miscellaneous";"Focus Energy"
"2018-12-24 05:54:02";"Everest";"Earth";4100;"";""
"2018-12-24 05:29:01";"Ariel";"Uranus";10700;"miscellaneous";"150 ENDO"
"2018-12-24 05:24:01";"Lex";"Ceres";7400;"blueprint";"Ivara Zirastra Helmet"
"2018-12-24 05:17:01";"Paimon";"Europa";9500;"";""
"2018-12-24 04:47:02";"Berehynia";"Sedna";12800;"miscellaneous";"150 ENDO"
"2018-12-24 04:30:01";"Hellas";"Mars";0;"resource";"Mutagen Mass"
"2018-12-24 04:30:01";"Monolith";"Phobos";6800;"resource";"Nitain Extract"
"2018-12-24 04:26:01";"Kala-azar";"Eris";12200;"aura";"Infested Impedance"
"2018-12-24 04:20:01";"Mot";"Void";16100;"resource";"Nano Spores (3,000x)"
"2018-12-24 04:08:02";"Acheron";"Pluto";13700;"";""
"2018-12-24 03:42:02";"Arval";"Mars";6200;"";""
"2018-12-24 03:29:01";"Thon";"Ceres";7700;"resource";"Orokin Cell"
"2018-12-24 03:13:01";"Enceladus";"Saturn";9800;"miscellaneous";"100 ENDO"
"2018-12-24 03:02:02";"Galilea";"Jupiter";8900;"";""
"2018-12-24 02:33:01";"Caelus";"Uranus";11000;"resource";"Alloy Plate (1,500x)"
"2018-12-24 02:26:01";"Tessera";"Venus";5000;"";""
"2018-12-24 02:16:01";"Kala-azar";"Eris";13400;"";""
"2018-12-24 02:08:01";"Larissa";"Neptune";11600;"";""
"2018-12-24 01:58:01";"Garus";"Kuva Fortress";12200;"resource";"Synthula (5x)"
"2018-12-24 01:38:32";"Spear";"Mars";0;"resource";"Detonite Injector (3x)"
"2018-12-24 01:26:01";"Selkie";"Sedna";12200;"blueprint";"Ash Scorpion Helmet"
"2018-12-24 01:16:01";"Everest";"Earth";4400;"miscellaneous";"80 ENDO"
"2018-12-24 00:50:01";"Triton";"Neptune";0;"resource";"Detonite Injector (3x)"
"2018-12-24 00:49:02";"Despina";"Neptune";0;"resource";"Karak Wraith Barrel"
"2018-12-24 00:42:01";"Ukko";"Void";12200;"resource";"Void Traces (20x)"
"2018-12-24 00:41:01";"Odin";"Mercury";5000;"aura";"Corrosive Projection"
"2018-12-24 00:24:02";"Ares";"Mars";0;"resource";"Detonite Injector (3x)"
"2018-12-24 00:16:01";"Shklovsky";"Phobos";6800;"";""
"2018-12-24 00:10:01";"Carme";"Jupiter";8300;"resource";"Oxium (300x)"
"2018-12-24 00:09:01";"Kiste";"Ceres";7400;"";""
"2018-12-23 23:37:02";"Tessera";"Venus";5000;"miscellaneous";"80 ENDO"
"2018-12-23 23:34:02";"Ultor";"Mars";6500;"";""
"2018-12-23 23:18:01";"Caelus";"Uranus";10700;"resource";"Nitain Extract"
"2018-12-23 23:05:01";"Everest";"Earth";4700;"";""
"2018-12-23 22:30:01";"Solium";"Eris";13700;"resource";"Plastids (300x)"
"2018-12-23 22:21:02";"Salacia";"Neptune";11000;"blueprint";"Ceramic Dagger"
"2018-12-23 22:19:01";"Enceladus";"Saturn";10100;"blueprint";"Nezha Circa Helmet"
"2018-12-23 21:58:01";"Ludi";"Ceres";0;"resource";"Snipetron Vandal Receiver"
"2018-12-23 21:53:02";"Ker";"Ceres";0;"resource";"Fieldron (3x)"
"2018-12-23 21:53:01";"Skyresh";"Phobos";6500;"";""
"2018-12-23 21:47:01";"Mithra";"Void";15200;"resource";"Void Traces (20x)"
"2018-12-23 21:25:01";"Thon";"Ceres";7700;"blueprint";"Heat Dagger"
"2018-12-23 21:23:02";"Paimon";"Europa";8600;"";""
"2018-12-23 21:14:01";"Kiliken";"Venus";5000;"";""
"2018-12-23 20:42:01";"Puck";"Uranus";11300;"miscellaneous";"150 ENDO"
"2018-12-23 20:41:02";"Odin";"Mercury";5000;"blueprint";"Loki Essence Helmet"
"2018-12-23 20:03:01";"Acheron";"Pluto";13400;"miscellaneous";"150 ENDO"
"2018-12-23 19:58:02";"Everest";"Earth";4400;"";""
"2018-12-23 19:56:01";"Xini";"Eris";13100;"resource";"Orokin Cell"
"2018-12-23 19:20:01";"Gulliver";"Phobos";6800;"resource";"Gallium"
"2018-12-23 19:15:01";"Ultor";"Mars";6200;"miscellaneous";"80 ENDO"
"2018-12-23 18:52:01";"Stribog";"Void";9500;"miscellaneous";"Shred"
"2018-12-23 18:50:01";"Helene";"Saturn";9800;"miscellaneous";"100 ENDO"
"2018-12-23 18:41:01";"Kiste";"Ceres";6800;"blueprint";"Ember Phoenix Helmet"
"2018-12-23 17:29:02";"Odin";"Mercury";5300;"resource";"Polymer Bundle (300x)"
"2018-12-23 17:03:01";"Cressida";"Uranus";11300;"miscellaneous";"150 ENDO"
"2018-12-23 16:50:01";"Despina";"Neptune";12200;"";""
"2018-12-23 16:37:01";"Rhea";"Saturn";10700;"blueprint";"Heat Dagger"
"2018-12-23 16:26:01";"Pallas";"Ceres";6500;"";""
"2018-12-23 16:11:02";"Iliad";"Phobos";0;"resource";"Fieldron (3x)"
"2018-12-23 16:11:01";"Skyresh";"Phobos";0;"resource";"Mutalist Alad V Nav Coordinate"
"2018-12-23 16:07:01";"Brugia";"Eris";12800;"";""
"2018-12-23 15:52:01";"Montes";"Venus";4400;"miscellaneous";"80 ENDO"
"2018-12-23 15:50:01";"Kokabiel";"Europa";9200;"miscellaneous";"Vigor"
"2018-12-23 15:39:01";"Oceanum";"Pluto";13100;"blueprint";"Loki Essence Helmet"
"2018-12-23 15:09:02";"Carpo";"Jupiter";8300;"miscellaneous";"100 ENDO"
"2018-12-23 15:00:02";"Pacific";"Earth";3800;"";""
"2018-12-23 14:33:01";"Rusalka";"Sedna";13400;"miscellaneous";"150 ENDO"
"2018-12-23 14:21:01";"Stickney";"Phobos";7100;"resource";"Nitain Extract"
"2018-12-23 14:20:02";"Cytherean";"Venus";0;"resource";"Fieldron (3x)"
"2018-12-23 14:18:01";"Titan";"Saturn";9200;"resource";"Ferrite (3,000x)"
"2018-12-23 14:05:01";"Monolith";"Phobos";0;"resource";"Mutagen Mass (2x)"
"2018-12-23 14:00:01";"Despina";"Neptune";12500;"";""
"2018-12-23 13:55:02";"Arval";"Mars";6200;"miscellaneous";"80 ENDO"
"2018-12-23 13:38:02";"Casta";"Ceres";6800;"resource";"Circuits (1,500x)"
"2018-12-23 13:16:01";"Saxis";"Eris";14000;"resource";"Neural Sensors"
"2018-12-23 13:06:02";"Thebe";"Jupiter";8600;"miscellaneous";"100 ENDO"
"2018-12-23 12:44:02";"Adaro";"Sedna";12800;"blueprint";"Trinity Meridian Helmet"
"2018-12-23 12:34:01";"Suisei";"Mercury";5600;"resource";"Neurodes"
"2018-12-23 12:26:01";"Venera";"Venus";0;"resource";"Fieldron (3x)"
"2018-12-23 12:26:01";"Kiliken";"Venus";0;"resource";"Fieldron (3x)"
"2018-12-23 12:26:01";"Fossa";"Venus";0;"resource";"Fieldron (3x)"
"2018-12-23 12:10:01";"Mariana";"Earth";3200;"";""
"2018-12-23 12:03:01";"Abaddon";"Europa";9500;"";""
"2018-12-23 11:46:01";"Titan";"Saturn";9800;"";""
"2018-12-23 11:23:02";"Stickney";"Phobos";6200;"resource";"Nano Spores (3,000x)"
"2018-12-23 11:07:01";"Despina";"Neptune";11900;"resource";"Polymer Bundle (300x)"
"2018-12-23 11:06:02";"Ani";"Void";9500;"resource";"Void Traces (20x)"
"2018-12-23 10:55:02";"Hellas";"Mars";5600;"blueprint";"Ember Phoenix Helmet"
"2018-12-23 10:34:01";"Desdemona";"Uranus";11300;"";""
"2018-12-23 10:13:01";"Aphrodite";"Venus";0;"resource";"Fieldron (3x)"
"2018-12-23 10:11:01";"Naga";"Sedna";12200;"resource";"Control Module"
"2018-12-23 10:04:01";"Venera";"Venus";4700;"";""
"2018-12-23 09:48:02";"Carme";"Jupiter";8000;"blueprint";"Valkyr Bastet Helmet"
"2018-12-23 09:41:01";"Regna";"Pluto";13100;"";""
"2018-12-23 09:17:01";"Mariana";"Earth";3500;"resource";"Nitain Extract"
"2018-12-23 09:02:01";"Saxis";"Eris";13400;"resource";"Alloy Plate (1,500x)"
"2018-12-23 09:02:01";"Valefor";"Europa";8600;"";""
"2018-12-23 08:40:01";"Belenus";"Void";12200;"resource";"Salvage (300x)"
"2018-12-23 08:35:01";"Salacia";"Neptune";12200;"miscellaneous";"150 ENDO"
"2018-12-23 08:15:01";"Vallis";"Mars";6500;"miscellaneous";"Rending Strike"
"2018-12-23 07:55:01";"Monolith";"Phobos";7400;"miscellaneous";"100 ENDO"
"2018-12-23 07:53:01";"Helene";"Saturn";9800;"";""
"2018-12-23 07:37:01";"Hydron";"Sedna";14900;"resource";"Argon Crystal"
"2018-12-23 07:27:01";"Kelpie";"Sedna";0;"resource";"Detonite Injector (3x)"
"2018-12-23 07:02:01";"Erpo";"Earth";4700;"miscellaneous";"80 ENDO"
"2018-12-23 06:51:01";"Berehynia";"Sedna";0;"resource";"Detonite Injector (3x)"
"2018-12-23 06:50:01";"Caelus";"Uranus";10700;"";""
"2018-12-23 06:47:02";"Baal";"Europa";9500;"";""
"2018-12-23 06:38:01";"Neso";"Neptune";11900;"resource";"Rubedo (450x)"
"2018-12-23 06:11:01";"Ananke";"Jupiter";7700;"miscellaneous";"100 ENDO"
"2018-12-23 06:05:01";"Augustus";"Mars";7100;"";""
"2018-12-23 05:51:01";"Lex";"Ceres";7400;"";""
"2018-12-23 05:30:02";"Odin";"Mercury";5600;"aura";"Steel Charge"
"2018-12-23 05:18:01";"Rhea";"Saturn";9800;"miscellaneous";"100 ENDO"
"2018-12-23 04:55:01";"Shklovsky";"Phobos";6500;"resource";"Alloy Plate (1,500x)"
"2018-12-23 04:46:01";"Rusalka";"Sedna";0;"resource";"Detonite Injector (3x)"
"2018-12-23 04:36:02";"Venera";"Venus";4400;"miscellaneous";"80 ENDO"
"2018-12-23 04:35:02";"Charybdis";"Sedna";0;"resource";"Detonite Injector (3x)"
"2018-12-23 04:35:01";"Marid";"Sedna";0;"resource";"Detonite Injector (3x)"
"2018-12-23 04:14:01";"Sycorax";"Uranus";10100;"";""
"2018-12-23 04:08:01";"Pacific";"Earth";4100;"resource";"Nitain Extract"
"2018-12-23 03:49:01";"Abaddon";"Europa";9500;"aura";"Rifle Scavenger"
"2018-12-23 03:31:02";"Vallis";"Mars";6800;"";""
"2018-12-23 03:16:02";"Metis";"Jupiter";7700;"";""
"2018-12-23 02:58:01";"Solium";"Eris";13400;"blueprint";"Plasma Sword"
"2018-12-23 02:41:02";"Suisei";"Mercury";5900;"aura";"Speed Holster"
"2018-12-23 02:26:02";"Hepit";"Void";7100;"resource";"Void Traces (20x)"
"2018-12-23 02:21:01";"Montes";"Venus";5000;"miscellaneous";"80 ENDO"
"2018-12-23 02:11:02";"Shklovsky";"Phobos";6800;"resource";"Neural Sensors"
"2018-12-23 02:06:02";"Naga";"Sedna";0;"resource";"Detonite Injector (3x)"
"2018-12-23 02:06:01";"Selkie";"Sedna";0;"resource";"Mutalist Alad V Nav Coordinate"
"2018-12-23 01:57:01";"Pallas";"Ceres";6800;"";""
"2018-12-23 01:48:01";"Valac";"Europa";8600;"";""
"2018-12-23 01:21:01";"Carpo";"Jupiter";8300;"blueprint";"Mirage Harlequin Helmet"
"2018-12-23 01:17:01";"Helene";"Saturn";9500;"miscellaneous";"100 ENDO"
